eventid,iyear,imonth,iday,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,location,summary,alternative,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,motive,nperps,nperpcap,weaptype1,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,addnotes,dbsource
1.97008E+11,1970,8,6,0,,217,United States,1,North America,California (U.S. State),San Jose,37.338475,-121.885794,Intersection of Santa Clara Street and 11th Street,"8/6/1970: Police Officer Richard Huerta was shot dead by Emile Thompson, a Black nationalist, while he was sitting in his car writing out a traffic ticket in San Jose, California, United Station.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,1,1,5,Firearms,1,1,0,0,0,0,0,,,"Emile Thompson claimed that he carried out the attack to get back at the 'pigs' who had harassed him, noting that Officer Huerta represented all 'pigs.'  In 1970, there were two other police officers murdered by suspected Black Nationalists in the Northern California area while they were making traffic stops (197008200003 and 197006190004).",Hewitt Project
1.97008E+11,1970,8,15,0,,217,United States,1,North America,Mississippi (U.S. State),West Point,33.60651,-88.650419,Parking lot of a West Point grocery store,"8/15/1970: John Thomas was shot to death in his car in West Point, Mississippi, United States.  Thomas was a civil rights activist who previously led the campaign of a Black mayoral candidate.  The shooter, Seth Stanley, a White male, was found not guilty by means of self defense by an all-White jury.",2,1,0,1,Assassination,14,Private Citizens & Property,White Extremists,,-99,0,5,Firearms,1,1,0,0,0,0,0,,,"John Thomas was one of the accused perpetrators of 197001250001.  Seth Stanley was acquitted based on a successful argument of self defense, but it is important to note that John Thomas was shot as he was sitting in his truck.  A Black boycott of White-owned businesses in West Point was initiated as a result of this incident.",Hewitt Project
1.97008E+11,1970,8,20,0,,217,United States,1,North America,California (U.S. State),Berkeley,37.869885,-122.270539,Intersection of Union Street and Jefferson Street,"8/20/1970: Police Officer Ronald T. Tsukamoto was shot and killed by an unknown perpetrator in Berkeley, California, United States.  While writing a ticket for a motorcyclist, a man walked up to Officer Tsukamoto and shot him  twice with a revolver.  The perpetrator immediately jumped in a car driven by an African American male and sped away.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"In 2005, police arrested Styles Frederick Price and Don Juan Warren Graphenreed, believing that Price carried out the murder and Graphenreed drove the getaway car.  However, the District Attorney of Alameda County declined to charge the suspects.  In 1970, there were two other police officers murdered by suspected Black Nationalists in the Northern California area while they were making traffic stops (197008060004 and 197006190004).",Hewitt Project
1.97009E+11,1970,9,18,0,,217,United States,1,North America,Ohio (U.S. State),Toledo,41.65381,-83.536259,Dorr Street,"9/18/1970: Police Officer William Albert Miscannon was sitting in his police car in Toledo, Ohio, United States, near the headquarters of the Black Panther Party, when an unknown perpetrator walked up to his car and shot the officer three times.  Officer Miscannon was killed and his partner Officer Walter Shaw, who was also sitting in the car, was treated for shock.",,1,0,2,Armed Assault,3,Police,Black Panthers,To kill police,1,0,5,Firearms,1,1,0,1,1,0,0,,,"Following the attack there was a gunfight between the Toledo Police and Black Panthers.  The Police raided the headquarters of the Black Panther party an hour after the incident which directly led to the demise of the BPP within Toledo.  John McClellan was accused of carrying out the attack, but after three trials, two of which resulted in hung juries, he was acquitted.",Hewitt Project
1.97011E+11,1970,11,1,0,,217,United States,1,North America,Pennsylvania (U.S. State),New Castle,41.001845,-80.34724,Outside of Rainbow Gardens Bar,"11/1/1970: African American Ronald Mitchell was killed in a drive-by shooting by suspected White Racists in New Castle, Pennsylvania, United States.  His death sparked violent race riots throughout the city.",2,1,0,2,Armed Assault,14,Private Citizens & Property,White Extremists,Suspected motive was to intimidate the African American community of New Castle Pennsylvania.,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"This attack directly led to the outbreak of riots by the African American community of New Castle, Pennsylvania.",Hewitt Project
1.97011E+11,1970,11,8,0,,217,United States,1,North America,Illinois (U.S. State),Cairo,37.005105,-89.176269,,"11/8/1970: Shortly after a lumber yard owned by Robert Cunningham, a former leader of a White vigilante group in Cairo, Illinois, United States, was set on fire, Wiley Anderson, an African American, was shot four times as he was walking in the Pyramid Court Housing Projects in Cairo.  Leaders of Cairo's African American community believed that Anderson was shot by White snipers firing indiscriminately into the predominantly Black housing projects.  Anderson died from his wounds two weeks later.",2,1,0,2,Armed Assault,14,Private Citizens & Property,White Extremists,To kill African Americans,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"This incident occurred a short time after the lumber yard of Cairo Illinois was set on fire (197011070002).  Wiley Anderson was a sergeant on leave from the army.  Members of the United Front, an organization directing an African American boycott of White owned business in Cairo, believed that the sniper fire was coming from two different directions.  The United Front also stated that Walter Garrett, who was walking with Wiley Anderson at the time, was also shot.  However, the police dispute this claim.  The FBI stated that there was no evidence that any federal statutes were violated and the police were unsure who shot Wiley Anderson.",Hewitt Project
1.97001E+11,1970,1,1,0,,217,United States,1,North America,Illinois (U.S. State),Cairo,37.005105,-89.176269,,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To protest the Cairo Illinois Police Deparment,-99,-99,5,Firearms,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"The Cairo Chief of Police, William Petersen, resigned as a result of the attack.",Hewitt Project
1.97001E+11,1970,1,2,0,,217,United States,1,North America,California (U.S. State),Oakland,37.805065,-122.273024,Edes Substation,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",2,1,0,3,Bombing/Explosion,21,Utilities,Unknown,,-99,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"Damages were estimated to be between $20,000-$25,000.",Hewitt Project
1.97001E+11,1970,1,2,0,,217,United States,1,North America,Wisconsin (U.S. State),Madison,43.07295,-89.386694,"University of Wisconsin, Madison","1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",,1,0,7,Facility/Infrastructure Attack,4,Military,New Year's Gang,To protest the War in Vietnam and the draft,1,1,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"The New Years Gang issue a communiqué to a local paper claiming that they perpetrated this attack.  The New Years Gang  previously attempted to firebomb the R.O.T.C. building a week earlier.  As a result of the attack, police increased their presence in Madison.  Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Old Red Gym.  The next day Armstrong would attempt to set a fire in the Selective Service offices in Madison. (197001030001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)",Hewitt Project
1.97001E+11,1970,1,3,0,,217,United States,1,North America,Wisconsin (U.S. State),Madison,43.07295,-89.386694,,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",,1,0,7,Facility/Infrastructure Attack,2,Government (General),New Year's Gang,To protest the War in Vietnam and the draft,1,1,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)",Hewitt Project
1.97001E+11,1970,1,6,0,,217,United States,1,North America,Colorado (U.S. State),Denver,39.74001,-104.992259,,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",2,1,0,7,Facility/Infrastructure Attack,4,Military,Left-Wing Militants,Protest the draft and Vietnam War,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Hewitt Project
1.97001E+11,1970,1,8,0,,98,Italy,8,Western Europe,,Rome,41.89052,12.494249,,,,1,0,4,Hijacking,6,Airports & Aircraft,Unknown,,1,,5,Firearms,0,0,0,0,0,0,0,,,,Hijacking DB
1.97001E+11,1970,1,9,0,,217,United States,1,North America,Michigan (U.S. State),Detroit,42.331685,-83.047924,,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",,1,0,7,Facility/Infrastructure Attack,2,Government (General),Left-Wing Militants,,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,Hewitt Project
1.97001E+11,1970,1,9,0,,217,United States,1,North America,Puerto Rico (Commonwealth),Rio Piedras,18.39677,-66.046608,Caparra Shopping Center,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",2,1,0,7,Facility/Infrastructure Attack,1,Business,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,-99,-99,8,Incendiary,0,0,0,0,0,0,1,2,Major (likely > $1 million but < $1 billion),The fire began at 8:30 PM. The Armed Commandos of Liberation claimed the incident but authorities did not discover any evidence proving that the fire was set intentionally.,Hewitt Project
1.97001E+11,1970,1,12,0,,217,United States,1,North America,New York (U.S. State),New York City,40.65,-73.95,Brooklyn,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",,1,0,3,Bombing/Explosion,8,Educational Institution,Black Nationalists,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,-99,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"One half hour after the bomb explosion, an anonymous caller warned of a bomb that was going to detonated in the locker room, however this device was never found.  The inscriptions on the wall of the building were ""Panthers 21,"" ""Support Young Lords,"" and ""Americong.""  There was no history of racial violence at James Madison High School.",Hewitt Project
1.97001E+11,1970,1,12,0,,217,United States,1,North America,Puerto Rico (Commonwealth),Rio Grande,18.37657,-67.224894,,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",,1,0,3,Bombing/Explosion,1,Business,Strikers,,-99,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,-9,4,Unknown,,Hewitt Project
1.97001E+11,1970,1,13,0,,217,United States,1,North America,Washington (U.S. State),Seattle,47.60356,-122.329439,,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",,1,0,7,Facility/Infrastructure Attack,1,Business,Black Nationalists,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"The store was a White owned business operating in a predominantly African American neighborhood.  Before the firebombing, the Fuson's received many threats against their store.",Hewitt Project
1.97001E+11,1970,1,14,0,,217,United States,1,North America,Illinois (U.S. State),Champaign,40.1142,-88.243499,Champaign Police Department,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",,1,0,7,Facility/Infrastructure Attack,3,Police,Black Nationalists,,-99,-99,8,Incendiary,0,0,0,1,1,0,1,3,Minor (likely < $1 million),,Hewitt Project
1.97001E+11,1970,1,19,0,,217,United States,1,North America,Washington (U.S. State),Seattle,47.60356,-122.329439,Seattle University,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",,1,0,3,Bombing/Explosion,8,Educational Institution,Black Nationalists,The incident took place during disturbances between the Black Student Union and the university.,3,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),Witnesses observed three African American males running from the scene.,Hewitt Project
1.97001E+11,1970,1,19,0,,217,United States,1,North America,Washington (U.S. State),Seattle,47.60356,-122.329439,University of Washington,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",,0,0,3,Bombing/Explosion,4,Military,Student Radicals,The incident took place during heightened antiwar sentiments in Seattle Washington.,2,2,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,0,,,Judith and Silas Bissell were both members of Students for a Democratic Society.,Hewitt Project
1.97001E+11,1970,1,19,0,,217,United States,1,North America,New Jersey (U.S. State),Jersey City,40.7174,-74.043234,Front of building,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",,1,0,7,Facility/Infrastructure Attack,22,Violent Political Party,White Extremists,Intimidate the Black Panther Party.,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),The building might have been shot at a second time after the Panthers evacuated the building.  The arson took place just before midnight on January 19th and the shooting took place after 1 A.M. on January 20th.,Hewitt Project
1.97001E+11,1970,1,22,0,,217,United States,1,North America,Nebraska (U.S. State),South Sioux City,42.47031,-96.413949,,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",,1,0,3,Bombing/Explosion,14,Private Citizens & Property,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,-99,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"This attack might be linked with other episodes of strike violence in South City Nebraska (197001300001, 197001300002, 197002230001, 197002230002, 197002230003, 197002230004)",Hewitt Project
1.97001E+11,1970,1,25,0,,217,United States,1,North America,Mississippi (U.S. State),West Point,33.60651,-88.650419,,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",2,1,0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,White Extremists,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"Police, at the time suspected, that this attack was linked to dissatisfaction over integration of the schools in West Point, Mississippi but could not conclusively rule out that this incident was criminally motivated.",Hewitt Project
1.97001E+11,1970,1,25,0,,217,United States,1,North America,New York (U.S. State),New York City,40.71455,-74.007124,Manhattan,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,-99,-99,5,Firearms,0,0,0,2,2,0,1,3,Minor (likely < $1 million),Police do not believe that this attack was related to the shooting of a police officer in Queens hours later (197001260003).,Hewitt Project
1.97001E+11,1970,1,26,0,,217,United States,1,North America,Mississippi (U.S. State),West Point,33.60651,-88.650419,,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",,1,0,3,Bombing/Explosion,2,Government (General),Black Nationalists,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,-99,-99,6,Explosives/Bombs/Dynamite,0,0,0,0,0,0,1,3,Minor (likely < $1 million),"Police, at the time, suspected that this attack was linked to dissatisfaction over integration of the schools.  John Thomas, John Buffington, and three other Blacks were charged with conspiracy but no individual was indicted.",Hewitt Project
1.97001E+11,1970,1,26,0,,217,United States,1,North America,New York (U.S. State),New York City,40.713985,-73.829959,Queens,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,-99,-99,5,Firearms,0,0,0,0,0,0,0,,,Police do not believe that this attack was related to the shooting of two police officers in Manhattan hours earlier (197001250002).,Hewitt Project
1.97001E+11,1970,1,27,0,,217,United States,1,North America,Ohio (U.S. State),Norwalk,41.241996,-82.615241,,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",,1,0,7,Facility/Infrastructure Attack,2,Government (General),Left-Wing Militants,Protest and sabotage the draft,-99,-99,8,Incendiary,0,0,0,0,0,0,1,3,Minor (likely < $1 million),The perpetrators broke through the door of the building early in the morning.,Hewitt Project
